Id,ISBN,ISBN Image,Thumbnail Image,Title,Author(s),Genre ID,Genre,Rating,Copies
0,1467122459,1467122459.jpg,http://ecx.images-amazon.com/images/I/51PSyW3NE5L.jpg,Virginia Aviation (Images of Aviation),Roger Connor,0,Arts & Photography,1.5,0
1,3775738193,3775738193.jpg,http://ecx.images-amazon.com/images/I/51yVsunNW1L.jpg,Composite Landscapes: Photomontage and Landscape Architecture,James Corner,0,Arts & Photography,2.0,3
2,1454708921,1454708921.jpg,http://ecx.images-amazon.com/images/I/61L7xGOqO1L.jpg,More Creative Lettering: Techniques & Tips from Top Artists,Jenny Doh,0,Arts & Photography,0.5,2
3,980045444,0980045444.jpg,http://ecx.images-amazon.com/images/I/41nCyvIuSLL.jpg,Memory Drawing: Perceptual Training and Recall,Darren R. Rousar,0,Arts & Photography,4.5,1
4,1844489426,1844489426.jpg,http://ecx.images-amazon.com/images/I/61%2BYFePZtML.jpg,Drawing and Painting Flowers with Coloured Pencils,Trudy Friend,0,Arts & Photography,1.0,3
5,983272344,0983272344.jpg,http://ecx.images-amazon.com/images/I/51D2L2cqvzL.jpg,"IntAR, Interventions and Adaptive Reuse, Volume 06; The Experience Economy",Tiziano Aglieri Rinella,0,Arts & Photography,2.0,2
6,1616890932,1616890932.jpg,http://ecx.images-amazon.com/images/I/41wKuJUJoyL.jpg,"The Architect Says: Quotes, Quips, and Words of Wisdom",Laura S. Dushkes,0,Arts & Photography,4.0,3
7,1502499703,1502499703.jpg,http://ecx.images-amazon.com/images/I/61N5jPqnTFL.jpg,Modern Art Abstract Landscapes Nature Coloring Books For Adults (Sacred Mandala Designs and Patterns Coloring Books for Adults) (Volume 43),Lilt Kids Coloring Books,0,Arts & Photography,1.0,1
8,486449742,0486449742.jpg,http://ecx.images-amazon.com/images/I/51uGtNGBGFL.jpg,Marine Painter's Guide (Dover Art Instruction),Jack Coggins,0,Arts & Photography,4.5,2
9,486458164,0486458164.jpg,http://ecx.images-amazon.com/images/I/61j4DPit%2B0L.jpg,Celtic and Anglo-Saxon Art and Ornament (Dover Pictorial Archives),J. O. Westwood,0,Arts & Photography,1.0,3
